index	name	color
1	ctx-rh-lateralorbitofrontal_9	#e83238
2	ctx-rh-lateralorbitofrontal_11	#363459
3	ctx-rh-lateralorbitofrontal_5	#facfcc
4	ctx-rh-lateralorbitofrontal_6	#0e28f6
5	ctx-rh-lateralorbitofrontal_7	#4a577c
6	ctx-rh-lateralorbitofrontal_10	#0fb91d
7	ctx-rh-lateralorbitofrontal_4	#ead8ed
8	ctx-rh-lateralorbitofrontal_17	#02128b
9	ctx-rh-lateralorbitofrontal_8	#9f536b
10	ctx-rh-lateralorbitofrontal_15	#8e3a88
11	ctx-rh-lateralorbitofrontal_13	#7e1144
12	ctx-rh-lateralorbitofrontal_12	#5a1bf6
13	ctx-rh-lateralorbitofrontal_1	#204157
14	ctx-rh-lateralorbitofrontal_3	#6734de
15	ctx-rh-lateralorbitofrontal_16	#7061da
16	ctx-rh-lateralorbitofrontal_14	#ac892c
17	ctx-rh-lateralorbitofrontal_2	#f67eb2
18	ctx-rh-parsorbitalis_4	#efb8a5
19	ctx-rh-parsorbitalis_1	#2252ae
20	ctx-rh-parsorbitalis_2	#c35dc6
21	ctx-rh-parsorbitalis_3	#9ecc70
22	ctx-rh-frontalpole_2	#74f08a
23	ctx-rh-frontalpole_1	#c67f9d
24	ctx-rh-medialorbitofrontal_1	#17c811
25	ctx-rh-medialorbitofrontal_9	#532f25
26	ctx-rh-medialorbitofrontal_7	#070db1
27	ctx-rh-medialorbitofrontal_3	#73fd6c
28	ctx-rh-medialorbitofrontal_10	#f74857
29	ctx-rh-medialorbitofrontal_8	#20129c
30	ctx-rh-medialorbitofrontal_5	#af2740
31	ctx-rh-medialorbitofrontal_4	#72a35b
32	ctx-rh-medialorbitofrontal_2	#dd48b7
33	ctx-rh-medialorbitofrontal_6	#c6f974
34	ctx-rh-medialorbitofrontal_11	#d74848
35	ctx-rh-parstriangularis_8	#f3945a
36	ctx-rh-parstriangularis_5	#089c03
37	ctx-rh-parstriangularis_3	#83d69a
38	ctx-rh-parstriangularis_4	#c65793
39	ctx-rh-parstriangularis_1	#a6fe1f
40	ctx-rh-parstriangularis_2	#3992aa
41	ctx-rh-parstriangularis_7	#0ebb90
42	ctx-rh-parstriangularis_6	#8f8a7f
43	ctx-rh-parsopercularis_8	#51dcdb
44	ctx-rh-parsopercularis_4	#3964ab
45	ctx-rh-parsopercularis_5	#6676fc
46	ctx-rh-parsopercularis_9	#e5f217
47	ctx-rh-parsopercularis_3	#317219
48	ctx-rh-parsopercularis_1	#31bc18
49	ctx-rh-parsopercularis_7	#5aec84
50	ctx-rh-parsopercularis_6	#71e895
51	ctx-rh-parsopercularis_2	#b0172d
52	ctx-rh-rostralmiddlefrontal_19	#71249b
53	ctx-rh-rostralmiddlefrontal_21	#a64d45
54	ctx-rh-rostralmiddlefrontal_16	#d2f40d
55	ctx-rh-rostralmiddlefrontal_22	#6d6ffe
56	ctx-rh-rostralmiddlefrontal_24	#642ce4
57	ctx-rh-rostralmiddlefrontal_10	#cf972b
58	ctx-rh-rostralmiddlefrontal_20	#5e7b87
59	ctx-rh-rostralmiddlefrontal_15	#7ca2db
60	ctx-rh-rostralmiddlefrontal_18	#dbe7cb
61	ctx-rh-rostralmiddlefrontal_7	#4b0dce
62	ctx-rh-rostralmiddlefrontal_25	#258469
63	ctx-rh-rostralmiddlefrontal_23	#0ac9e7
64	ctx-rh-rostralmiddlefrontal_4	#dbcb81
65	ctx-rh-rostralmiddlefrontal_27	#3e20b7
66	ctx-rh-rostralmiddlefrontal_14	#c1a4a1
67	ctx-rh-rostralmiddlefrontal_17	#e909d8
68	ctx-rh-rostralmiddlefrontal_9	#e2227e
69	ctx-rh-rostralmiddlefrontal_12	#601c6f
70	ctx-rh-rostralmiddlefrontal_2	#92a00c
71	ctx-rh-rostralmiddlefrontal_13	#ddc41b
72	ctx-rh-rostralmiddlefrontal_11	#ca12c0
73	ctx-rh-rostralmiddlefrontal_3	#d447f8
74	ctx-rh-rostralmiddlefrontal_5	#b13047
75	ctx-rh-rostralmiddlefrontal_8	#c47300
76	ctx-rh-rostralmiddlefrontal_26	#9e10e8
77	ctx-rh-rostralmiddlefrontal_1	#0f774a
78	ctx-rh-rostralmiddlefrontal_6	#ab8d7b
79	ctx-rh-superiorfrontal_40	#536f2c
80	ctx-rh-superiorfrontal_4	#672713
81	ctx-rh-superiorfrontal_3	#53ea81
82	ctx-rh-superiorfrontal_14	#866a0a
83	ctx-rh-superiorfrontal_7	#dc4fa3
84	ctx-rh-superiorfrontal_23	#8b03ab
85	ctx-rh-superiorfrontal_10	#4a9efd
86	ctx-rh-superiorfrontal_39	#c54506
87	ctx-rh-superiorfrontal_19	#dfad41
88	ctx-rh-superiorfrontal_29	#8c465e
89	ctx-rh-superiorfrontal_1	#8051a7
90	ctx-rh-superiorfrontal_27	#c04f3f
91	ctx-rh-superiorfrontal_30	#8a529e
92	ctx-rh-superiorfrontal_15	#ed7e31
93	ctx-rh-superiorfrontal_2	#0babe3
94	ctx-rh-superiorfrontal_11	#2525b3
95	ctx-rh-superiorfrontal_37	#874692
96	ctx-rh-superiorfrontal_8	#be389a
97	ctx-rh-superiorfrontal_36	#b47038
98	ctx-rh-superiorfrontal_25	#faa543
99	ctx-rh-superiorfrontal_24	#cec8e0
100	ctx-rh-superiorfrontal_38	#e00709
101	ctx-rh-superiorfrontal_20	#553e18
102	ctx-rh-superiorfrontal_5	#ebf751
103	ctx-rh-superiorfrontal_22	#bb3900
104	ctx-rh-superiorfrontal_21	#50ef16
105	ctx-rh-superiorfrontal_12	#163136
106	ctx-rh-superiorfrontal_18	#e03025
107	ctx-rh-superiorfrontal_42	#99b954
108	ctx-rh-superiorfrontal_13	#d21d57
109	ctx-rh-superiorfrontal_32	#5f2180
110	ctx-rh-superiorfrontal_33	#10479c
111	ctx-rh-superiorfrontal_28	#cab748
112	ctx-rh-superiorfrontal_41	#1c016e
113	ctx-rh-superiorfrontal_16	#96aa4d
114	ctx-rh-superiorfrontal_6	#31752e
115	ctx-rh-superiorfrontal_9	#c75fa7
116	ctx-rh-superiorfrontal_17	#8f0a67
117	ctx-rh-superiorfrontal_31	#226b75
118	ctx-rh-superiorfrontal_35	#c6a08a
119	ctx-rh-superiorfrontal_34	#02876d
120	ctx-rh-superiorfrontal_26	#0237d0
121	ctx-rh-caudalmiddlefrontal_8	#3d05de
122	ctx-rh-caudalmiddlefrontal_4	#048e7a
123	ctx-rh-caudalmiddlefrontal_2	#8b4f4e
124	ctx-rh-caudalmiddlefrontal_3	#1080cc
125	ctx-rh-caudalmiddlefrontal_7	#6f2c3e
126	ctx-rh-caudalmiddlefrontal_5	#d92f44
127	ctx-rh-caudalmiddlefrontal_11	#121a8c
128	ctx-rh-caudalmiddlefrontal_10	#044c5f
129	ctx-rh-caudalmiddlefrontal_1	#c985a5
130	ctx-rh-caudalmiddlefrontal_9	#e9ee6a
131	ctx-rh-caudalmiddlefrontal_6	#61dbcb
132	ctx-rh-precentral_12	#4f8d02
133	ctx-rh-precentral_35	#726e91
134	ctx-rh-precentral_28	#73ee8c
135	ctx-rh-precentral_36	#5ad61d
136	ctx-rh-precentral_31	#79220a
137	ctx-rh-precentral_5	#e9f81d
138	ctx-rh-precentral_21	#07176e
139	ctx-rh-precentral_1	#641d9e
140	ctx-rh-precentral_8	#207f33
141	ctx-rh-precentral_20	#11c5ed
142	ctx-rh-precentral_34	#112a7c
143	ctx-rh-precentral_2	#690f1c
144	ctx-rh-precentral_23	#57f731
145	ctx-rh-precentral_19	#d43f5c
146	ctx-rh-precentral_22	#14a546
147	ctx-rh-precentral_26	#2d8c27
148	ctx-rh-precentral_6	#fb4ccc
149	ctx-rh-precentral_10	#ba12ec
150	ctx-rh-precentral_3	#ecfe30
151	ctx-rh-precentral_9	#365429
152	ctx-rh-precentral_4	#63ef3a
153	ctx-rh-precentral_32	#51b2bd
154	ctx-rh-precentral_16	#7fa8ab
155	ctx-rh-precentral_15	#55be82
156	ctx-rh-precentral_30	#5f5c4c
157	ctx-rh-precentral_18	#2c206b
158	ctx-rh-precentral_27	#500d07
159	ctx-rh-precentral_7	#b2fbc2
160	ctx-rh-precentral_11	#df968a
161	ctx-rh-precentral_14	#29f10d
162	ctx-rh-precentral_33	#359fe0
163	ctx-rh-precentral_24	#71413f
164	ctx-rh-precentral_13	#d7a016
165	ctx-rh-precentral_29	#5ecd39
166	ctx-rh-precentral_25	#1dc293
167	ctx-rh-precentral_17	#8c8927
168	ctx-rh-paracentral_1	#299145
169	ctx-rh-paracentral_9	#df479f
170	ctx-rh-paracentral_4	#d14903
171	ctx-rh-paracentral_2	#7134f3
172	ctx-rh-paracentral_3	#76a84f
173	ctx-rh-paracentral_5	#cb29ea
174	ctx-rh-paracentral_12	#41ac62
175	ctx-rh-paracentral_6	#a12c26
176	ctx-rh-paracentral_10	#262abb
177	ctx-rh-paracentral_11	#ce230c
178	ctx-rh-paracentral_7	#e2ce96
179	ctx-rh-paracentral_8	#ba4832
180	ctx-rh-rostralanteriorcingulate_2	#e02f81
181	ctx-rh-rostralanteriorcingulate_1	#a96058
182	ctx-rh-rostralanteriorcingulate_4	#98460e
183	ctx-rh-rostralanteriorcingulate_3	#afd90e
184	ctx-rh-caudalanteriorcingulate_1	#9bd84e
185	ctx-rh-caudalanteriorcingulate_6	#f9efe4
186	ctx-rh-caudalanteriorcingulate_4	#c7a881
187	ctx-rh-caudalanteriorcingulate_2	#5c9916
188	ctx-rh-caudalanteriorcingulate_3	#80490e
189	ctx-rh-caudalanteriorcingulate_5	#68130f
190	ctx-rh-posteriorcingulate_8	#9d96c2
191	ctx-rh-posteriorcingulate_1	#8a04f9
192	ctx-rh-posteriorcingulate_7	#d007a3
193	ctx-rh-posteriorcingulate_2	#3834e2
194	ctx-rh-posteriorcingulate_5	#d15992
195	ctx-rh-posteriorcingulate_3	#8f497a
196	ctx-rh-posteriorcingulate_9	#d7f3c3
197	ctx-rh-posteriorcingulate_4	#461c42
198	ctx-rh-posteriorcingulate_6	#97ea8c
199	ctx-rh-isthmuscingulate_3	#72c645
200	ctx-rh-isthmuscingulate_1	#9be32f
201	ctx-rh-isthmuscingulate_2	#b465e6
202	ctx-rh-isthmuscingulate_4	#fa6f7d
203	ctx-rh-isthmuscingulate_5	#11e7d3
204	ctx-rh-isthmuscingulate_6	#26f4fd
205	ctx-rh-postcentral_24	#3574d0
206	ctx-rh-postcentral_26	#c711d2
207	ctx-rh-postcentral_6	#f56367
208	ctx-rh-postcentral_20	#f3b786
209	ctx-rh-postcentral_25	#283805
210	ctx-rh-postcentral_11	#936abf
211	ctx-rh-postcentral_3	#ca53c0
212	ctx-rh-postcentral_18	#ceace9
213	ctx-rh-postcentral_27	#b144ec
214	ctx-rh-postcentral_13	#9031b4
215	ctx-rh-postcentral_23	#86109c
216	ctx-rh-postcentral_9	#977835
217	ctx-rh-postcentral_17	#66f02e
218	ctx-rh-postcentral_30	#3052f3
219	ctx-rh-postcentral_22	#3c5c7e
220	ctx-rh-postcentral_7	#857e03
221	ctx-rh-postcentral_4	#a76a86
222	ctx-rh-postcentral_5	#ebc6f8
223	ctx-rh-postcentral_29	#903a71
224	ctx-rh-postcentral_1	#6970a1
225	ctx-rh-postcentral_16	#2cd036
226	ctx-rh-postcentral_14	#b93b18
227	ctx-rh-postcentral_12	#1d61e2
228	ctx-rh-postcentral_21	#99f7e5
229	ctx-rh-postcentral_8	#d2f2f7
230	ctx-rh-postcentral_10	#2f1f25
231	ctx-rh-postcentral_2	#c8bc9f
232	ctx-rh-postcentral_19	#108e17
233	ctx-rh-postcentral_15	#e1a77d
234	ctx-rh-postcentral_28	#2e29ea
235	ctx-rh-supramarginal_19	#a98225
236	ctx-rh-supramarginal_10	#5300ce
237	ctx-rh-supramarginal_11	#b0c55d
238	ctx-rh-supramarginal_13	#93028a
239	ctx-rh-supramarginal_18	#f8c2bf
240	ctx-rh-supramarginal_20	#94890b
241	ctx-rh-supramarginal_8	#945b23
242	ctx-rh-supramarginal_4	#09934d
243	ctx-rh-supramarginal_15	#ef7518
244	ctx-rh-supramarginal_9	#c91ed5
245	ctx-rh-supramarginal_3	#a95c3e
246	ctx-rh-supramarginal_14	#df4ced
247	ctx-rh-supramarginal_16	#5acf22
248	ctx-rh-supramarginal_2	#e31a16
249	ctx-rh-supramarginal_6	#a96615
250	ctx-rh-supramarginal_12	#6e2663
251	ctx-rh-supramarginal_1	#495841
252	ctx-rh-supramarginal_7	#d65afa
253	ctx-rh-supramarginal_5	#28c17c
