index	name	color
148	ctx-lh-parstriangularis_1	#35ef4b
149	ctx-lh-parstriangularis_2	#fdf825
150	ctx-lh-parsopercularis_1	#3fbfcd
151	ctx-lh-parsopercularis_2	#467f78
152	ctx-lh-rostralmiddlefrontal_1	#b410ff
153	ctx-lh-rostralmiddlefrontal_2	#3bd798
154	ctx-lh-rostralmiddlefrontal_3	#5fc032
155	ctx-lh-rostralmiddlefrontal_4	#482688
156	ctx-lh-rostralmiddlefrontal_5	#6d2d94
157	ctx-lh-rostralmiddlefrontal_6	#46b5e9
158	ctx-lh-superiorfrontal_1	#d42f7e
159	ctx-lh-superiorfrontal_2	#02511c
160	ctx-lh-superiorfrontal_3	#25170e
161	ctx-lh-superiorfrontal_4	#566892
162	ctx-lh-superiorfrontal_5	#4aa498
163	ctx-lh-superiorfrontal_6	#91f97c
164	ctx-lh-superiorfrontal_7	#6a23b0
165	ctx-lh-superiorfrontal_8	#05343c
166	ctx-lh-caudalmiddlefrontal_12	#3adc70
168	ctx-lh-caudalmiddlefrontal_3	#94cbf3
169	ctx-lh-precentral_1	#3df3d1
170	ctx-lh-precentral_2	#0b798b
171	ctx-lh-precentral_3	#717d5a
172	ctx-lh-precentral_4	#6092a8
173	ctx-lh-precentral_5	#93d67a
174	ctx-lh-precentral_6	#1dcc76
175	ctx-lh-paracentral_1	#40f688
176	ctx-lh-paracentral_2	#71fd85
177	ctx-lh-paracentral_3	#0074d4
178	ctx-lh-rostralanteriorcingulate_1	#b77f5c
179	ctx-lh-caudalanteriorcingulate_1	#688635
180	ctx-lh-posteriorcingulate_1	#e816d5
181	ctx-lh-posteriorcingulate_2	#b1f31a
182	ctx-lh-isthmuscingulate_1	#9d85b6
183	ctx-lh-postcentral_1	#eadc75
184	ctx-lh-postcentral_2	#fac4cb
185	ctx-lh-postcentral_3	#9c7a49
186	ctx-lh-postcentral_4	#fb3af9
187	ctx-lh-postcentral_5	#7fe64e
188	ctx-lh-supramarginal_1	#c398b2
189	ctx-lh-supramarginal_2	#2afe74
190	ctx-lh-supramarginal_3	#dad8f6
191	ctx-lh-supramarginal_4	#080234
192	ctx-lh-superiorparietal_1	#9e6f4f
193	ctx-lh-superiorparietal_2	#0c0869
194	ctx-lh-superiorparietal_3	#8adcde
195	ctx-lh-superiorparietal_4	#c6f42f
196	ctx-lh-superiorparietal_5	#85887d
197	ctx-lh-superiorparietal_6	#a897d5
198	ctx-lh-superiorparietal_7	#f5f061
199	ctx-lh-inferiorparietal_1	#b3b625
200	ctx-lh-inferiorparietal_2	#c9a99c
201	ctx-lh-inferiorparietal_3	#585b46
202	ctx-lh-inferiorparietal_4	#993f4d
203	ctx-lh-inferiorparietal_5	#1d94e4
204	ctx-lh-inferiorparietal_6	#245be6
205	ctx-lh-precuneus_1	#cee325
206	ctx-lh-precuneus_2	#13abfc
207	ctx-lh-precuneus_3	#ff7e50
208	ctx-lh-precuneus_4	#8c3df2
209	ctx-lh-precuneus_5	#87e7a0
210	ctx-lh-cuneus_1	#4fb833
211	ctx-lh-cuneus_2	#6a395f
212	ctx-lh-pericalcarine	#e278f0
214	ctx-lh-lateraloccipital_1	#625bfe
215	ctx-lh-lateraloccipital_2	#de3791
216	ctx-lh-lateraloccipital_3	#e0f47e
217	ctx-lh-lateraloccipital_4	#2a163d
218	ctx-lh-lateraloccipital_5	#3c2e99
219	ctx-lh-lingual_1	#1e0fa6
220	ctx-lh-lingual_2	#f6835d
221	ctx-lh-lingual_3	#93b4da
222	ctx-lh-fusiform_1	#a30db8
223	ctx-lh-fusiform_2	#907a0f
224	ctx-lh-fusiform_3	#24e4e0
225	ctx-lh-fusiform_4	#ae5bee
226	ctx-lh-parahippocampal_1	#79ee67
227	ctx-lh-entorhinal_1	#1dbcc6
228	ctx-lh-temporalpole_1	#0bebfd
229	ctx-lh-inferiortemporal_12	#4d1139
231	ctx-lh-inferiortemporal_3	#0b8f6b
232	ctx-lh-inferiortemporal_4	#65cfc3
233	ctx-lh-middletemporal_1	#184c30
234	ctx-lh-middletemporal_2	#b2723d
235	ctx-lh-middletemporal_3	#7d0da8
236	ctx-lh-middletemporal_4	#9f5a18
237	ctx-lh-bankssts_1	#840592
238	ctx-lh-superiortemporal_1	#935ce3
239	ctx-lh-superiortemporal_2	#fb62f5
240	ctx-lh-superiortemporal_3	#5057a2
241	ctx-lh-superiortemporal_4	#a4b83f
242	ctx-lh-superiortemporal_5	#60d41d
243	ctx-lh-transversetemporal_1	#2f5b75
244	ctx-lh-insula_1	#325cd1
245	ctx-lh-insula_2	#7fd259
246	ctx-lh-insula_3	#c25d8b
247	subc-lh-caudate	#793648
248	subc-lh-putamen	#d2e9dd
249	subc-lh-pallidum_accumbens	#03b537
251	thal-lh-pulvinar	#cfca99
252	thal-lh-ventral-anterior	#876974
253	thal-lh-mediodorsal	#3bc345
254	thal-lh-lateral-posterior-ventral-posterior-group	#1321bb
255	thal-lh-pulvinar-medial-centrolateral-group	#96d3e8
256	thal-lh-ventrolateral	#972cae
257	thal-lh-ventral-posterior-ventrolateral-group	#c58161
