index	name	color
1	ctx-rh-lateralorbitofrontal	#234b32
2	ctx-rh-parsorbitalis	#146432
3	ctx-rh-frontalpole	#640064
4	ctx-rh-medialorbitofrontal	#c8234b
5	ctx-rh-parstriangularis	#dc3c14
6	ctx-rh-parsopercularis	#dcb48c
7	ctx-rh-rostralmiddlefrontal	#4b327d
8	ctx-rh-superiorfrontal	#14dca0
9	ctx-rh-caudalmiddlefrontal	#641900
10	ctx-rh-precentral	#3c14dc
11	ctx-rh-paracentral	#3cdc3c
12	ctx-rh-rostralanteriorcingulate	#50148c
13	ctx-rh-caudalanteriorcingulate	#7d64a0
14	ctx-rh-posteriorcingulate	#dcb4dc
15	ctx-rh-isthmuscingulate	#8c148c
16	ctx-rh-postcentral	#dc1414
17	ctx-rh-supramarginal	#50a014
18	ctx-rh-superiorparietal	#14b48c
19	ctx-rh-inferiorparietal	#dc3cdc
20	ctx-rh-precuneus	#a08cb4
21	ctx-rh-cuneus	#dc1464
22	ctx-rh-pericalcarine	#78643c
23	ctx-rh-lateraloccipital	#141e8c
24	ctx-rh-lingual	#e18c8c
25	ctx-rh-fusiform	#b4dc8c
26	ctx-rh-parahippocampal	#14dc3c
27	ctx-rh-entorhinal	#dc140a
28	ctx-rh-temporalpole	#464646
29	ctx-rh-inferiortemporal	#b42878
30	ctx-rh-middletemporal	#a06432
31	ctx-rh-bankssts	#196428
32	ctx-rh-superiortemporal	#8cdcdc
33	ctx-rh-transversetemporal	#9696c8
34	ctx-rh-insula	#ffc020
35	subc-rh-caudate	#7abadc
36	subc-rh-putamen	#ec0db0
37	subc-rh-pallidum	#0d30ff
38	subc-rh-accumbens-area	#ffa500
39	thal-rh-pulvinar	#ff0000
40	thal-rh-ventral-anterior	#00ff00
41	thal-rh-mediodorsal	#ffff00
42	thal-rh-lateral-posterior-ventral-posterior-group	#ff7b00
43	thal-rh-pulvinar-medial-centrolateral-group	#00ffff
44	thal-rh-ventrolateral	#ff00ff
45	thal-rh-ventral-posterior-ventrolateral-group	#0000ff
46	amygd-rh-lateral-nucleus	#4884b5
47	amygd-rh-basal-nucleus	#cf3f4f
48	amygd-rh-central-nucleus	#c53cf8
49	amygd-rh-medial-nucleus	#029502
50	amygd-rh-cortical-nucleus	#ddf9a6
51	amygd-rh-accessory-basal-nucleus	#e89223
52	amygd-rh-corticoamygdaloid-transitio	#143c78
53	amygd-rh-anterior-amygdaloid-area-aaa	#fafa00
54	amygd-rh-paralaminar-nucleus	#2dcda5
55	hipp-rh-hippocampus-head	#ff0000
56	hipp-rh-hippocampus-body	#00ff00
57	hipp-rh-hippocampus-tail	#ffff00
58	hipp-rh-hippocampus-fissure	#ff7b00
59	hypo-rh-anterior-inferior	#faff32
60	hypo-rh-anterior-superior	#50c8ff
61	hypo-rh-posterior	#ffa000
62	hypo-rh-tubular-inferior	#ffa0c8
63	hypo-rh-tubular-superior	#14b482
64	cer-rh-cerebellum	#e69422
65	ctx-lh-lateralorbitofrontal	#234b32
66	ctx-lh-parsorbitalis	#146432
67	ctx-lh-frontalpole	#640064
68	ctx-lh-medialorbitofrontal	#c8234b
69	ctx-lh-parstriangularis	#dc3c14
70	ctx-lh-parsopercularis	#dcb48c
71	ctx-lh-rostralmiddlefrontal	#4b327d
72	ctx-lh-superiorfrontal	#14dca0
73	ctx-lh-caudalmiddlefrontal	#641900
74	ctx-lh-precentral	#3c14dc
75	ctx-lh-paracentral	#3cdc3c
76	ctx-lh-rostralanteriorcingulate	#50148c
77	ctx-lh-caudalanteriorcingulate	#7d64a0
78	ctx-lh-posteriorcingulate	#dcb4dc
79	ctx-lh-isthmuscingulate	#8c148c
80	ctx-lh-postcentral	#dc1414
81	ctx-lh-supramarginal	#50a014
82	ctx-lh-superiorparietal	#14b48c
83	ctx-lh-inferiorparietal	#dc3cdc
84	ctx-lh-precuneus	#a08cb4
85	ctx-lh-cuneus	#dc1464
86	ctx-lh-pericalcarine	#78643c
87	ctx-lh-lateraloccipital	#141e8c
88	ctx-lh-lingual	#e18c8c
89	ctx-lh-fusiform	#b4dc8c
90	ctx-lh-parahippocampal	#14dc3c
91	ctx-lh-entorhinal	#dc140a
92	ctx-lh-temporalpole	#464646
93	ctx-lh-inferiortemporal	#b42878
94	ctx-lh-middletemporal	#a06432
95	ctx-lh-bankssts	#196428
96	ctx-lh-superiortemporal	#8cdcdc
97	ctx-lh-transversetemporal	#9696c8
98	ctx-lh-insula	#ffc020
99	subc-lh-caudate	#7abadc
100	subc-lh-putamen	#ec0db0
101	subc-lh-pallidum	#0c30ff
102	subc-lh-accumbens-area	#ffa500
103	thal-lh-pulvinar	#ff0000
104	thal-lh-ventral-anterior	#00ff00
105	thal-lh-mediodorsal	#ffff00
106	thal-lh-lateral-posterior-ventral-posterior-group	#ff7b00
107	thal-lh-pulvinar-medial-centrolateral-group	#00ffff
108	thal-lh-ventrolateral	#ff00ff
109	thal-lh-ventral-posterior-ventrolateral-group	#0000ff
110	amygd-lh-lateral-nucleus	#4884b5
111	amygd-lh-basal-nucleus	#cf3f4f
112	amygd-lh-central-nucleus	#c53cf8
113	amygd-lh-medial-nucleus	#029502
114	amygd-lh-cortical-nucleus	#ddf9a6
115	amygd-lh-accessory-basal-nucleus	#e89223
116	amygd-lh-corticoamygdaloid-transitio	#143c78
117	amygd-lh-anterior-amygdaloid-area-aaa	#fafa00
118	amygd-lh-paralaminar-nucleus	#2dcda5
119	hipp-lh-hippocampus-head	#ff0000
120	hipp-lh-hippocampus-body	#00ff00
121	hipp-lh-hippocampus-tail	#ffff00
122	hipp-lh-hippocampus-fissure	#ff7b00
123	hypo-lh-anterior-inferior	#faff32
124	hypo-lh-anterior-superior	#50c8ff
125	hypo-lh-posterior	#ffa000
126	hypo-lh-tubular-inferior	#ffa0c8
127	hypo-lh-tubular-superior	#14b482
128	cer-lh-cerebellum	#e69422
129	brain-stem-midbrain	#f2684c
130	brain-stem-pons	#cec33a
131	brain-stem-medulla	#779fb0
132	brain-stem-scp	#8eb600
3000	wm-brain-white_matter	#ffffff
3001	wm-rh-lateralorbitofrontal	#dcb4cd
3002	wm-rh-parsorbitalis	#eb9bcd
3003	wm-rh-frontalpole	#9bff9b
3004	wm-rh-medialorbitofrontal	#37dcb4
3005	wm-rh-parstriangularis	#23c3eb
3006	wm-rh-parsopercularis	#234b73
3007	wm-rh-rostralmiddlefrontal	#b4cd82
3008	wm-rh-superiorfrontal	#eb235f
3009	wm-rh-caudalmiddlefrontal	#9be6ff
3010	wm-rh-precentral	#c3eb23
3011	wm-rh-paracentral	#c323c3
3012	wm-rh-rostralanteriorcingulate	#afeb73
